SampleID	Group	StudyID	Group_Study
Bacteria_105ABCK1	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ABCK2	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ABCK3	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ABCK4	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ABCK5	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ABCK6	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ABCK7	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ABCK8	CK	Bacteria_105	Bacteria_105ABCK
Bacteria_105ATR1	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105ATR2	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105ATR3	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105ATR4	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105ATR5	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105ATR6	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105ATR7	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105ATR8	TR	Bacteria_105	Bacteria_105ATR
Bacteria_105BTR1	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105BTR2	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105BTR3	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105BTR4	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105BTR5	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105BTR6	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105BTR7	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105BTR8	TR	Bacteria_105	Bacteria_105BTR
Bacteria_105CDCK1	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CDCK2	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CDCK3	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CDCK4	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CDCK5	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CDCK6	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CDCK7	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CDCK8	CK	Bacteria_105	Bacteria_105CDCK
Bacteria_105CTR1	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105CTR2	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105CTR3	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105CTR4	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105CTR5	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105CTR6	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105CTR7	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105CTR8	TR	Bacteria_105	Bacteria_105CTR
Bacteria_105DTR1	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105DTR2	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105DTR3	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105DTR4	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105DTR5	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105DTR6	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105DTR7	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105DTR8	TR	Bacteria_105	Bacteria_105DTR
Bacteria_105EFCK1	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105EFCK2	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105EFCK3	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105EFCK4	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105EFCK5	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105EFCK6	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105EFCK7	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105EFCK8	CK	Bacteria_105	Bacteria_105EFCK
Bacteria_105ETR1	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105ETR2	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105ETR3	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105ETR4	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105ETR5	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105ETR6	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105ETR7	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105ETR8	TR	Bacteria_105	Bacteria_105ETR
Bacteria_105FTR1	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105FTR2	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105FTR3	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105FTR4	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105FTR5	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105FTR6	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105FTR7	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105FTR8	TR	Bacteria_105	Bacteria_105FTR
Bacteria_105GHCK1	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GHCK2	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GHCK3	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GHCK4	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GHCK5	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GHCK6	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GHCK7	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GHCK8	CK	Bacteria_105	Bacteria_105GHCK
Bacteria_105GTR1	TR	Bacteria_105	Bacteria_105GTR
Bacteria_105GTR2	TR	Bacteria_105	Bacteria_105GTR
Bacteria_105GTR3	TR	Bacteria_105	Bacteria_105GTR
