SampleID	Group	StudyID	Group_Study
Fungi_13ACK1	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK2	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK3	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK4	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK5	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK6	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK7	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK8	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK9	CK	Fungi_13	Fungi_13ACK
Fungi_13ACK10	CK	Fungi_13	Fungi_13ACK
Fungi_13ATR1	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR2	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR3	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR4	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR5	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR6	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR7	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR8	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR9	TR	Fungi_13	Fungi_13ATR
Fungi_13ATR10	TR	Fungi_13	Fungi_13ATR
Fungi_13BCK1	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK2	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK3	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK4	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK5	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK6	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK7	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK8	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK9	CK	Fungi_13	Fungi_13BCK
Fungi_13BCK10	CK	Fungi_13	Fungi_13BCK
Fungi_13BTR1	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR2	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR3	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR4	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR5	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR6	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR7	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR8	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR9	TR	Fungi_13	Fungi_13BTR
Fungi_13BTR10	TR	Fungi_13	Fungi_13BTR
Fungi_13CCK1	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK2	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK3	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK4	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK5	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK6	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK7	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK8	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK9	CK	Fungi_13	Fungi_13CCK
Fungi_13CCK10	CK	Fungi_13	Fungi_13CCK
Fungi_13CTR1	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR2	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR3	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR4	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR5	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR6	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR7	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR8	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR9	TR	Fungi_13	Fungi_13CTR
Fungi_13CTR10	TR	Fungi_13	Fungi_13CTR
Fungi_13DCK1	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK2	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK3	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK4	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK5	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK6	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK7	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK8	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK9	CK	Fungi_13	Fungi_13DCK
Fungi_13DCK10	CK	Fungi_13	Fungi_13DCK
Fungi_13DTR1	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR2	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR3	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR4	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR5	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR6	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR7	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR8	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR9	TR	Fungi_13	Fungi_13DTR
Fungi_13DTR10	TR	Fungi_13	Fungi_13DTR
Fungi_15ACK1	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK2	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK3	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK4	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK5	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK6	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK7	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK8	CK	Fungi_15	Fungi_15ACK
Fungi_15ACK9	CK	Fungi_15	Fungi_15ACK
Fungi_15ATR1	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR2	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR3	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR4	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR5	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR6	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR7	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR8	TR	Fungi_15	Fungi_15ATR
Fungi_15ATR9	TR	Fungi_15	Fungi_15ATR
