SampleID	Plant Pathogen
Fungi_101ACK1	0.1913
Fungi_101ACK2	0.227
Fungi_101ACK3	0.2504
Fungi_101ATR1	0.104
Fungi_101ATR2	0.1081
Fungi_101ATR3	0.1193
Fungi_106ABCK1	0.1108
Fungi_106ABCK2	0.253
Fungi_106ABCK3	0.0348
Fungi_106ATR1	0.2354
Fungi_106ATR3	0.354
Fungi_106BTR3	0.3448
Fungi_106CDCK1	0.0995
Fungi_106CDCK2	0.0642
Fungi_106CDCK3	0.135
Fungi_106CTR1	0.1484
Fungi_106CTR2	0.329
Fungi_106CTR3	0.0334
Fungi_106DTR2	0.0618
Fungi_106DTR3	0.2026
Fungi_106EFCK1	0.1334
Fungi_106EFCK2	0.0565
Fungi_106EFCK3	0.0322
Fungi_106ETR2	0.008
Fungi_106ETR3	0.483
Fungi_106FTR1	0.2465
Fungi_106FTR2	0.0525
Fungi_106GHCK1	0.1284
Fungi_106GHCK2	0.0244
Fungi_106GHCK3	0.1121
Fungi_106GTR2	0.2593
Fungi_106GTR3	0.3758
Fungi_106HTR1	0.143
Fungi_106HTR2	0.3441
Fungi_106HTR3	0.0001
Fungi_106IJCK1	0.0428
Fungi_106IJCK2	0.072
Fungi_106IJCK3	0.1799
Fungi_106ITR1	0.1681
Fungi_106ITR2	0.0445
Fungi_106ITR3	0.177
Fungi_106JTR1	0.3129
Fungi_106JTR2	0.0923
Fungi_106JTR3	0.091
Fungi_106UCK1	0.3947
Fungi_106UCK2	0.2894
Fungi_106UCK3	0.192
Fungi_106UCK4	0.3075
Fungi_106UTR1	0.4884
Fungi_106UTR2	0.3215
Fungi_106UTR3	0.1863
Fungi_106UTR4	0.1994
Fungi_106VCK1	0.7785
Fungi_106VCK2	0.1339
Fungi_106VCK3	0.0899
Fungi_106VCK4	0.3014
Fungi_106VTR1	0.3619
Fungi_106VTR2	0.6901
Fungi_106VTR3	0.1287
Fungi_106VTR4	0.0373
Fungi_106WCK1	0.271
Fungi_106WCK2	0.0931
Fungi_106WCK3	0.1491
Fungi_106WCK4	0.0414
Fungi_106WTR1	0.0757
Fungi_106WTR2	0.1694
Fungi_106WTR3	0.1801
Fungi_106WTR4	0.0774
Fungi_106XCK1	0.2178
Fungi_106XCK2	0.1263
Fungi_106XCK3	0.0808
Fungi_106XCK4	0.0099
Fungi_106XTR1	0.0795
Fungi_106XTR2	0.0742
Fungi_106XTR3	0.1416
Fungi_106XTR4	0.1661
Fungi_106YCK1	0.3246
Fungi_106YCK2	0.3531
