StudyID,Latitude,Longitude,Type,Size
10,43.3,-89.35,Bacteria,142
14,33.60183,117.14047,Bacteria,120
15,44.0833,124.85,Bacteria,72
17,43.5064,124.8092,Bacteria,9
37,42.3,122.56667,Bacteria,24
38,44.55,123.51667,Bacteria,12
39,33.033333,116.383333,Bacteria,32
54,35.66806,118.7125,Bacteria,12
57,46,126.63333,Bacteria,80
58,28.216667,116.916667,Bacteria,6
59,33.23333,118.38333,Bacteria,6
63,47.45,126.68333,Bacteria,60
66,50.25333,127.46111,Bacteria,7
68,50.25333,127.46111,Bacteria,48
69,36.59083,117.38167,Bacteria,6
70,24.3,102.63333,Bacteria,18
75,50.25333,127.46111,Bacteria,16
79,30.07024,103.0901,Bacteria,12
85,40.91667,-90.71667,Bacteria,192
95,45.387111,-75.721,Bacteria,96
96,40.08028,-88.24417,Bacteria,64
105,52.45,-113.75,Bacteria,288
106,50.283333,-107.8,Bacteria,85
109,48.8,118.36667,Bacteria,26
111,27.62345,118.00265,Bacteria,36
114,41.23333,111.5,Bacteria,9
120,49.91667,120.8,Bacteria,48
123,30.7682,110.6371,Bacteria,18
125,47.25,123.68333,Bacteria,60
129,29.055278,119.006667,Bacteria,20
135,23.7,104.26667,Bacteria,6
136,26.659,119.583,Bacteria,6
140,28.216667,116.916667,Bacteria,46
142,42.174,122.887,Bacteria,24
B39,-33.27306,-54.17333,Bacteria,9
D21,35.25,106.15,Bacteria,27
D30,24.14,102.3,Bacteria,30
Z4,51.6065,9.8655,Bacteria,120
Z5,33.0333,116.3833,Bacteria,32
Z6,33.0333,116.3833,Bacteria,6
Z7,25.7614,103.7153,Bacteria,42
Z9,44.7616,84.5207,Bacteria,130
Z10,42.4506,-81.8911,Bacteria,84
Z12,23.1287,104.7002,Bacteria,6
Z13,43.9833,125.3833,Bacteria,8
Z14,43.4529,129.611,Bacteria,18
Z15,36.8053,102.3883,Bacteria,12
Z16,36.31,118.41,Bacteria,12
Z17,35.6332,-88.8601,Bacteria,539
Z18,47.2333,123.6667,Bacteria,27
13,20.32917,110.17139,Fungi,80
15,44.0833,124.85,Fungi,72
17,43.5064,124.8092,Fungi,9
24,20.08333,110.16667,Fungi,30
38,44.55,123.51667,Fungi,12
39,33.033333,116.383333,Fungi,32
41,18.383333,108.733333,Fungi,12
42,18.383333,108.733333,Fungi,72
54,35.66806,118.7125,Fungi,12
57,46,126.63333,Fungi,80
63,47.45,126.68333,Fungi,60
66,50.25333,127.46111,Fungi,9
67,50.25333,127.46111,Fungi,48
69,36.59083,117.38167,Fungi,6
70,24.3,102.63333,Fungi,18
75,50.25333,127.46111,Fungi,16
79,30.07024,103.0901,Fungi,11
85,40.91667,-90.71667,Fungi,164
96,40.04417,-88.23222,Fungi,64
101,25.055125,102.696889,Fungi,6
106,50.283333,-107.8,Fungi,85
112,44.2,125.55,Fungi,72
113,38.06667,113.48333,Fungi,30
114,41.23333,111.5,Fungi,9
117,38.96667,115.45,Fungi,12
120,49.91667,120.8,Fungi,48
121,28.76667,109.21667,Fungi,9
129,29.055278,119.006667,Fungi,20
135,23.7,104.26667,Fungi,6
D21,35.25,106.15,Fungi,27
D30,24.14,102.3,Fungi,30
Extra,34.433333,103.866667,Fungi,36
Z2,27.7,106.2833,Fungi,9
Z3,30.6167,114.6167,Fungi,12
Z5,33.0333,116.3833,Fungi,32
Z7,25.7614,103.7153,Fungi,42
Z9,44.7616,84.5207,Fungi,130
Z11,44.0667,-93.55,Fungi,372
Z13,44.0667,-93.55,Fungi,8
Z14,43.4529,129.611,Fungi,18
Z15,36.8053,102.3883,Fungi,12
Z16,36.31,118.41,Fungi,12
Z17,35.6332,-88.8601,Fungi,539
Z18,47.2333,123.6667,Fungi,27
Z19,41.5917,115.45,Fungi,30
