Bacteria_CKID	Bacteria_nodes_num	Bacteria_edges_num	Bacteria_TRID	Bacteria_nodes_num	Bacteria_edges_num	Bacteria_nodes_num_change	Bacteria_edges_num_change	Fungi_CKID	Fungi_nodes_num	Fungi_edges_num	Fungi_TRID	Fungi_nodes_num	Fungi_edges_num	Fungi_nodes_num_change	Fungi_edges_num_change
Bacteria_10ACK	5165	63969	Bacteria_10ATR	6236	174823	0.207357212	1.732933139	Fungi_13ACK	383	991	Fungi_13ATR	1169	13355	2.052219321	12.47628658
Bacteria_10BCK	4973	57204	Bacteria_10BTR	5567	76626	0.119445003	0.339521712	Fungi_13BCK	489	1140	Fungi_13BTR	1490	31584	2.047034765	26.70526316
Bacteria_10CCK	3118	6107	Bacteria_10CTR	1504	3407	-0.517639513	-0.442115605	Fungi_13CCK	787	3661	Fungi_13CTR	957	7234	0.216010165	0.975962852
Bacteria_10DCK	2452	3558	Bacteria_10DTR	2791	7012	0.138254486	0.970770096	Fungi_13DCK	773	3528	Fungi_13DTR	952	5542	0.23156533	0.570861678
Bacteria_14BCK	2972	716202	Bacteria_14BTR	1798	908540	-0.395020188	0.268552727	Fungi_15ACK	312	2069	Fungi_15ATR	470	5805	0.506410256	1.805703238
Bacteria_15ACK	8779	306136	Bacteria_15ATR	9036	292001	0.029274405	-0.046172289	Fungi_15BCK	409	3680	Fungi_15BTR	403	3663	-0.014669927	-0.004619565
Bacteria_15BCK	8892	238407	Bacteria_15BTR	9246	282504	0.039811066	0.184965207	Fungi_15CCK	371	3489	Fungi_15CTR	505	6776	0.361185984	0.942103755
Bacteria_15CCK	8514	200038	Bacteria_15CTR	7930	127792	-0.068592906	-0.361161379	Fungi_15DCK	449	4301	Fungi_15DTR	446	5155	-0.006681514	0.198558475
Bacteria_15DCK	9481	337651	Bacteria_15DTR	8582	189092	-0.094821221	-0.439977965	Fungi_39ABCCK	233	783	Fungi_39ATR	240	720	0.030042918	-0.08045977
Bacteria_39ABCCK	926	836	Bacteria_39ATR	887	820	-0.042116631	-0.019138756	Fungi_39ABCCK	233	783	Fungi_39BTR	135	207	-0.420600858	-0.735632184
Bacteria_39ABCCK	926	836	Bacteria_39BTR	1061	1329	0.145788337	0.589712919	Fungi_39ABCCK	233	783	Fungi_39CTR	242	680	0.038626609	-0.131545338
Bacteria_39ABCCK	926	836	Bacteria_39CTR	972	1158	0.049676026	0.385167464	Fungi_67ACK	481	3003	Fungi_67ATR	598	6876	0.243243243	1.28971029
Bacteria_85ABCCK	8439	48015	Bacteria_85ATR	8187	52690	-0.029861358	0.097365407	Fungi_67BCK	325	2463	Fungi_67BTR	572	5350	0.76	1.172147787
Bacteria_85ABCCK	8439	48015	Bacteria_85BTR	7337	49078	-0.130584192	0.022138915	Fungi_96ACK	183	189	Fungi_96ATR	138	126	-0.245901639	-0.333333333
Bacteria_85ABCCK	8439	48015	Bacteria_85CTR	7119	41397	-0.156416637	-0.137831928	Fungi_129ACK	727	10169	Fungi_129ATR	782	13211	0.07565337	0.299144459
Bacteria_85DEFCK	7158	41504	Bacteria_85DTR	7808	45867	0.090807488	0.105122398	Fungi_D21ABCK	479	5070	Fungi_D21ATR	156	369	-0.674321503	-0.927218935
Bacteria_85DEFCK	7158	41504	Bacteria_85ETR	7161	38728	0.000419111	-0.06688512	Fungi_Z5ABCCK	513	3333	Fungi_Z5ATR	564	2807	0.099415205	-0.157815782
Bacteria_85DEFCK	7158	41504	Bacteria_85FTR	7789	42112	0.088153115	0.01464919	Fungi_Z5ABCCK	513	3333	Fungi_Z5BTR	402	1005	-0.216374269	-0.698469847
Bacteria_85GHICK	7028	88850	Bacteria_85GTR	6163	60285	-0.123079112	-0.321496905	Fungi_Z5ABCCK	513	3333	Fungi_Z5CTR	550	2536	0.072124756	-0.239123912
Bacteria_85GHICK	7028	88850	Bacteria_85HTR	5365	48335	-0.236624929	-0.455993247	Fungi_Z9ACK	265	787	Fungi_Z9ATR	257	566	-0.030188679	-0.280813215
Bacteria_85GHICK	7028	88850	Bacteria_85ITR	5520	44998	-0.21457029	-0.493550929								
Bacteria_85JKLCK	5281	47956	Bacteria_85JTR	4845	48665	-0.082560121	0.014784386								
Bacteria_85JKLCK	5281	47956	Bacteria_85KTR	9783	902512	0.852490059	17.81958462								
Bacteria_96ACK	3434	7087	Bacteria_96ATR	3347	7321	-0.025334886	0.033018202								
Bacteria_96BCK	3200	11026	Bacteria_96BTR	3378	12683	0.055625	0.150281154								
Bacteria_105GHCK	9345	964628	Bacteria_105GTR	9437	840597	0.009844837	-0.1285791								
Bacteria_105GHCK	9345	964628	Bacteria_105HTR	7392	427343	-0.208988764	-0.556986735								
Bacteria_105IJCK	8921	2247654	Bacteria_105ITR	10535	2653071	0.180921421	0.180373403								
Bacteria_105IJCK	8921	2247654	Bacteria_105JTR	10527	2318321	0.180024661	0.031440337								
Bacteria_105KLCK	12097	2503525	Bacteria_105KTR	12329	2164793	0.019178309	-0.135302024								
Bacteria_105KLCK	12097	2503525	Bacteria_105LTR	12011	3335073	-0.007109201	0.332150867								
Bacteria_105MNCK	13069	1421743	Bacteria_105MTR	12885	1272397	-0.014079119	-0.105044301								
Bacteria_105OPCK	14038	1661023	Bacteria_105PTR	13958	1922261	-0.005698817	0.157275366								
Bacteria_105STCK	8868	1811808	Bacteria_105STR	9403	2068671	0.060329274	0.141771645								
Bacteria_105STCK	8868	1811808	Bacteria_105TTR	10476	2236343	0.181326116	0.234315667								
Bacteria_105UVCK	11850	894139	Bacteria_105UTR	11546	966172	-0.025654008	0.0805613								
Bacteria_105UVCK	11850	894139	Bacteria_105VTR	12212	1062918	0.030548523	0.188761479								
Bacteria_105WXCK	12331	1227060	Bacteria_105WTR	12150	1533426	-0.014678453	0.249674833								
Bacteria_105WXCK	12331	1227060	Bacteria_105XTR	12216	1505647	-0.009326089	0.227036168								
Bacteria_D21ABCK	493	557	Bacteria_D21ATR	330	403	-0.330628803	-0.276481149								
Bacteria_D21ABCK	493	557	Bacteria_D21BTR	333	321	-0.324543611	-0.423698384								
Bacteria_D30ACK	6464	25661	Bacteria_D30ATR	6040	21506	-0.065594059	-0.161918865								
Bacteria_Z4ACK	2332	2374	Bacteria_Z4ATR	2744	3905	0.176672384	0.644903117								
Bacteria_Z4BCK	2018	1712	Bacteria_Z4BTR	3063	3562	0.517839445	1.080607477								
Bacteria_Z4CCK	2467	2555	Bacteria_Z4CTR	3800	5445	0.540332388	1.13111546								
Bacteria_Z4DCK	3676	9390	Bacteria_Z4DTR	3262	4734	-0.112622416	-0.495846645								
Bacteria_Z4ECK	4620	11130	Bacteria_Z4ETR	6245	21121	0.351731602	0.897663971								
Bacteria_Z5ABCCK	1308	1088	Bacteria_Z5ATR	1341	1339	0.025229358	0.230698529								
Bacteria_Z5ABCCK	1308	1088	Bacteria_Z5BTR	1405	1419	0.074159021	0.304227941								
Bacteria_Z5ABCCK	1308	1088	Bacteria_Z5CTR	1112	984	-0.149847095	-0.095588235								
Bacteria_Z9ACK	10286	965217	Bacteria_Z9ATR	10760	1039876	0.046082053	0.077349446								
