StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,Xc,Sc,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,4335.675,3276.103499,3066.15,1108.46059,8,8,-0.346454605,0.07136936,0.016336677,0.087706037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,3650,0.212244261
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,3048.881429,682.7776076,3760.65375,2343.482397,8,8,0.209818033,0.006268844,0.048540775,0.054809619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3279,0.039818635
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,3048.881429,682.7776076,3612.92,936.4874595,8,8,0.169741531,0.006268844,0.008398414,0.014667258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3952,0.226501917
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,5056.43,578.8093268,6315.87,1226.391859,8,8,0.222404813,0.001637921,0.004713051,0.006350973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,3650,0.212244261
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,4236.43375,654.9971671,4439.61875,877.9260715,8,8,0.046846687,0.002988051,0.004888038,0.007876089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3279,0.039818635
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,4236.43375,654.9971671,5505.2125,799.8384895,8,8,0.261973552,0.002988051,0.002638557,0.005626608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3952,0.226501917
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,3877.96125,1239.239847,3650.125,1552.324694,8,8,-0.060548151,0.012764794,0.022607871,0.035372666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2464,-0.06975016
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,3.666666667,3,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,3877.96125,1239.239847,2769.49625,989.0118237,8,8,-0.33664412,0.012764794,0.015940848,0.028705642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2252,-0.159717496
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,2936.83875,879.4399896,4252.44875,3396.849494,8,8,0.370161246,0.01120888,0.079759872,0.090968752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,2861,-0.007313284
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,2936.83875,879.4399896,3381.17875,1533.274358,8,8,0.140890644,0.01120888,0.025704757,0.036913637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,3086,0.068391256
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,2497.9225,676.5448924,2488.2275,527.188508,8,8,-0.003888777,0.009169493,0.005611277,0.01478077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2464,-0.06975016
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,3.666666667,3,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,2497.9225,676.5448924,1988.081667,479.0349853,8,8,-0.228289199,0.009169493,0.007257316,0.016426809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2252,-0.159717496
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,2605.52375,518.150353,2870.793333,661.6941601,8,8,0.096954704,0.004943466,0.006640805,0.011584271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,2861,-0.007313284
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,2605.52375,518.150353,2304.63875,969.5328235,8,8,-0.122709771,0.004943466,0.022122252,0.027065717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,3086,0.068391256
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,1885.55375,522.2425775,2159.92,1243.980816,8,8,0.13584964,0.009589075,0.041463127,0.051052202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,608,-0.123613956
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,3.666666667,3,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,1885.55375,522.2425775,2439.51125,1092.15931,8,8,0.257576168,0.009589075,0.025053958,0.034643033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,649,-0.058356121
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,888.47625,329.6123544,1084.23875,330.7942084,8,8,0.19912549,0.017203837,0.011635256,0.028839094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872,2294,0.203289641
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,888.47625,329.6123544,1938.63375,1278.043625,8,8,0.780230835,0.017203837,0.054326263,0.0715301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872,2421,0.2571733
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,1911.74625,429.2204838,1683.345,296.2793972,8,8,-0.127234206,0.006301013,0.003872279,0.010173292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,608,-0.123613956
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,3.666666667,3,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,1911.74625,429.2204838,1912,369.2414513,8,8,0.000132723,0.006301013,0.004661816,0.010962829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688,649,-0.058356121
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,1695.3325,484.4871687,1669.63375,507.5960208,8,8,-0.015274596,0.010208567,0.011553245,0.021761813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872,2294,0.203289641
105,"Town et al., 2023",2023,50.28,-107.76,382.0000076,3.816666603,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,DNRA,1695.3325,484.4871687,1766.08625,795.4257757,8,8,0.040887053,0.010208567,0.025356279,0.035564846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872,2421,0.2571733
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,V3-V4,DNRA,819.4,81.94,2922.27,184.8235705,3,3,1.271543625,0.003333333,0.001333376,0.00466671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,V3-V4,DNRA,819.4,81.94,2781.883333,657.0836458,3,3,1.22231107,0.003333333,0.018596972,0.021930305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,V3-V4,DNRA,2859.606667,320.5374294,2037.28,137.8969401,3,3,-0.339068502,0.004188164,0.001527167,0.005715331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,V3-V4,DNRA,2859.606667,320.5374294,2784.063333,333.7772066,3,3,-0.026772595,0.004188164,0.004791085,0.008979249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,V3-V4,DNRA,2632.72,104.1665527,2901.066667,250.2162413,3,3,0.097060953,0.000521826,0.002479672,0.003001499,NA,NA,NA,1.85563,1.82394,-0.017225265,NA,NA,NA,0.156613,0.155131,-0.009507873,19.3671,23.1646,0.179049501,2.53165,2.60759,0.029555159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,V3-V4,DNRA,2632.72,104.1665527,2984.29,199.4551606,3,3,0.12534433,0.000521826,0.001488974,0.002010801,NA,NA,NA,1.85563,1.79225,-0.034752447,NA,NA,NA,0.156613,0.163853,0.04519189,19.3671,19.7468,0.019415703,2.53165,2.78481,0.095308384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
