StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,Group_CK,Xc,Sc,Group_TR,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106ABCK,462,380.6730881,Fungi_106ATR,341.5,34.64823228,3,3,-0.302217212,0.226307603,0.003431306,0.229738909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106ABCK,462,380.6730881,Fungi_106BTR,193,241.8305192,3,3,-0.872874702,0.226307603,0.523342909,0.749650512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106CDCK,787.3333333,405.1929581,Fungi_106CTR,191.6666667,130.2510397,3,3,-1.412893956,0.08828466,0.153938752,0.242223412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R3,D20-40,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106CDCK,787.3333333,405.1929581,Fungi_106DTR,202,167.4395413,3,3,-1.360384011,0.08828466,0.229029834,0.317314493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106EFCK,773.3333333,177.5058684,Fungi_106ETR,130.5,142.128463,3,3,-1.779336949,0.017561868,0.395384683,0.412946551,NA,NA,NA,1.85563,1.82394,-0.017225265,NA,NA,NA,0.156613,0.155131,-0.009507873,19.3671,23.1646,0.179049501,2.53165,2.60759,0.029555159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Vegetative stage,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106EFCK,773.3333333,177.5058684,Fungi_106FTR,218.6666667,174.80942,3,3,-1.263161676,0.017561868,0.213031213,0.230593081,NA,NA,NA,1.85563,1.79225,-0.034752447,NA,NA,NA,0.156613,0.163853,0.04519189,19.3671,19.7468,0.019415703,2.53165,2.78481,0.095308384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106GHCK,764.3333333,640.6187114,Fungi_106GTR,311,43.84062043,3,3,-0.899211082,0.234159825,0.006623863,0.240783688,NA,NA,NA,1.8662,1.6338,-0.132995688,NA,NA,NA,0.164315,0.165578,0.007657066,18.9873,18.6076,-0.020200235,2.50633,2.27848,-0.095310978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106GHCK,764.3333333,640.6187114,Fungi_106HTR,151.6666667,131.8382848,3,3,-1.617318864,0.234159825,0.251872962,0.486032787,NA,NA,NA,1.8662,1.6338,-0.132995688,NA,NA,NA,0.164315,0.145073,-0.124548253,18.9873,10.6329,-0.579817367,2.50633,2.88608,0.141079648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Harvest,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106IJCK,691,313.6989002,Fungi_106ITR,209.6666667,155.0494545,3,3,-1.192620856,0.06869872,0.182288994,0.250987714,NA,NA,NA,1.9507,1.80282,-0.078836177,NA,NA,NA,0.174118,0.162444,-0.069399903,12.1519,14.8101,0.197823844,2.83544,2.68354,-0.05506031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,50.283333,-107.8,379.9999924,3.866666794,7.5,3,30,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,AM to nonAM,C3 to C3,Annual to Annual,Harvest,D5-10,R3,D20-40,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106IJCK,691,313.6989002,Fungi_106JTR,180.6666667,34.44318994,3,3,-1.341486111,0.06869872,0.012115167,0.080813887,NA,NA,NA,1.9507,1.85563,-0.049964021,NA,NA,NA,0.174118,0.163015,-0.065891009,12.1519,18.2278,0.405462365,2.83544,2.35443,-0.185898468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D3-5,R3,D11-20,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106UCK,912,496.5581537,Fungi_106UTR,236.5,61.657657,4,4,-1.349691782,0.074112347,0.016992284,0.091104631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106VCK,591.5,327.5225183,Fungi_106VTR,298.75,473.3845336,4,4,-0.68305458,0.07665012,0.627700262,0.704350382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_edges,Fungi_106WCK,414.25,630.8704965,Fungi_106WTR,351.5,58.46081309,4,4,-0.164259945,0.579822961,0.006915428,0.586738389,NA,NA,NA,2.05155,2.04124,-0.005038139,NA,NA,NA,0.199866,0.205235,0.026508522,21.375,30.75,0.363667979,3.83032,3.33926,-0.137199125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
