StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,Xc,Sc,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,13536.89,2161.809278,16834.515,1152.279997,8,8,0.218012692,0.003187917,0.000585632,0.003773549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,3650,0.212244261
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,13087.02857,2435.215208,13215.37875,1265.210398,8,8,0.009759654,0.004328153,0.001145714,0.005473867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3279,0.039818635
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,13087.02857,2435.215208,15160.42375,2528.729975,8,8,0.147066778,0.004328153,0.003477701,0.007805854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3952,0.226501917
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,21993.655,1158.898517,14304.33,10794.97496,8,8,-0.430191714,0.000347061,0.071189878,0.071536939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,3650,0.212244261
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,20320.2575,920.1617381,20468.0725,1389.393743,8,8,0.007247938,0.000256318,0.000575979,0.000832298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3279,0.039818635
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,20320.2575,920.1617381,21886.92625,744.177863,8,8,0.074271189,0.000256318,0.000144509,0.000400827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3952,0.226501917
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,9362.48875,3785.316048,11995.87125,4649.284423,8,8,0.247851381,0.020432979,0.018776673,0.039209652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2464,-0.06975016
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,3.666666667,3,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,9362.48875,3785.316048,12132.115,3363.546758,8,8,0.259144922,0.020432979,0.009607976,0.030040955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2252,-0.159717496
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,14080.72875,2757.484081,14619.82375,2125.888471,8,8,0.037571292,0.004793865,0.002643058,0.007436923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,2861,-0.007313284
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,Nitrogen_fixation,14080.72875,2757.484081,13046.62,4108.699523,8,8,-0.076278011,0.004793865,0.012397176,0.01719104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,3086,0.068391256
