StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,Xc,Sc,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,27846.58,924.1461366,32952.76,1138.385349,8,8,0.168364863,0.000137673,0.000149178,0.000286851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,3650,0.212244261
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,26004.58286,2849.124205,26066.6825,2499.79001,8,8,0.00238518,0.00150049,0.001149597,0.002650086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3279,0.039818635
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,26004.58286,2849.124205,27883.77,4529.348643,8,8,0.069772013,0.00150049,0.003298212,0.004798701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3952,0.226501917
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,37903.22,1371.560881,27682.575,17340.04725,8,8,-0.314232915,0.000163677,0.049045323,0.049209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,3650,0.212244261
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,35228.465,1239.250132,36419.88125,1532.664451,8,8,0.033260393,0.000154682,0.000221374,0.000376057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3279,0.039818635
105,"Town et al., 2023",2023,52.45,-113.75,447,2.674999952,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,35228.465,1239.250132,38550.39,837.0505027,8,8,0.090111796,0.000154682,5.89E-05,0.000213615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3151,3952,0.226501917
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,5.5,2,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,21198.46125,5410.089798,25572.68125,5061.207608,8,8,0.187596047,0.00814161,0.004896275,0.013037885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2464,-0.06975016
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,3.666666667,3,11,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,21198.46125,5410.089798,25762.14125,5069.758314,8,8,0.194977424,0.00814161,0.004840839,0.012982449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2642,2252,-0.159717496
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,6,2,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Non-legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D5-10,R2,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,27536.995,3651.03194,29193.255,3040.213077,8,8,0.058407316,0.002197395,0.001355667,0.003553062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,2861,-0.007313284
105,"Town et al., 2023",2023,50.15,-106.58,363,3.724999905,4,3,12,LongitudeXy0,MAPXy600,MATXy8,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,Unknow,Unknow,Unknow,V3-V4,P_starvation_regulation,27536.995,3651.03194,27350.21,4508.181765,8,8,-0.006806166,0.002197395,0.003396186,0.005593582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,3086,0.068391256
