BetaID,GroupCK,MeanCK,SDCK,GroupTR,MeanTR,SDTR,StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,GroupCK,Xc,Sc,GroupTR,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
Fungi_13A,Fungi_13ACK,1569,356.2917032,Fungi_13ATR,2326.4,512.3007363,13,"Chen et al., 2022 (a)",2022,20.32917,110.17139,1757.000061,23.95000076,6,2,18,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,nonAM to AM,CAM to C4,Perennial to Perennial,Unknow,D5-10,R2,D11-20,Rhizosphere,Fine,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_13ACK,1569,356.2917032,Fungi_13ATR,2326.4,512.3007363,10,10,0.393883535,0.005156625,0.004849324,0.010005949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_13B,Fungi_13BCK,2565.6,579.1597745,Fungi_13BTR,2111.6,835.0582415,13,"Chen et al., 2022 (a)",2022,20.91472,110.08056,1745.000061,23.51666641,6,2,18,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,nonAM to AM,CAM to C3,Perennial to Perennial,Unknow,D5-10,R2,D11-20,Rhizosphere,Fine,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_13BCK,2565.6,579.1597745,Fungi_13BTR,2111.6,835.0582415,10,10,-0.194746415,0.005095876,0.015639045,0.020734921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_13C,Fungi_13CCK,788.9,271.8653466,Fungi_13CTR,1038.7,292.5964418,13,"Chen et al., 2022 (a)",2022,20.32917,110.17139,1757.000061,23.95000076,1.287553648,2,3,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,nonAM to AM,CAM to C4,Perennial to Perennial,Unknow,D1-3,R2,D1-5,Rhizosphere,Fine,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_13CCK,788.9,271.8653466,Fungi_13CTR,1038.7,292.5964418,10,10,0.27508564,0.011875825,0.007935199,0.019811024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_13D,Fungi_13DCK,1194.3,903.2237387,Fungi_13DTR,1367.2,1157.868904,13,"Chen et al., 2022 (a)",2022,20.91472,110.08056,1745.000061,23.51666641,1.287553648,2,3,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,nonAM to AM,CAM to C3,Perennial to Perennial,Unknow,D1-3,R2,D1-5,Rhizosphere,Fine,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_13DCK,1194.3,903.2237387,Fungi_13DTR,1367.2,1157.868904,10,10,0.135204613,0.057195758,0.071722378,0.128918136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_15A,Fungi_15ACK,516.2222222,713.2061024,Fungi_15ATR,86.88888889,33.52030894,15,"Chen et al., 2022 (c)",2022,44.0833,124.85,536.0000153,5.133333206,3,2,6,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Unknow,D1-3,R2,D6-10,Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,ITS1,Plant_Pathogen,Fungi_15ACK,516.2222222,713.2061024,Fungi_15ATR,86.88888889,33.52030894,9,9,-1.781907173,0.212087073,0.016536555,0.228623628,NA,NA,NA,1.193,1.177,-0.013502315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_15B,Fungi_15BCK,448.2222222,464.6874696,Fungi_15BTR,279.4444444,237.235174,15,"Chen et al., 2022 (c)",2022,44.0833,124.85,536.0000153,5.133333206,3,2,6,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Unknow,D1-3,R2,D6-10,Rhizosphere,Unknow,Unknow,Retention,Fertilizer,ITS1,Plant_Pathogen,Fungi_15BCK,448.2222222,464.6874696,Fungi_15BTR,279.4444444,237.235174,9,9,-0.472485636,0.119424284,0.080080116,0.1995044,NA,NA,NA,1.309,1.228,-0.063876657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_15C,Fungi_15CCK,295.4444444,393.6982065,Fungi_15CTR,445.5,340.2003611,15,"Chen et al., 2022 (c)",2022,44.0833,124.85,536.0000153,5.133333206,3,2,6,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Unknow,D1-3,R2,D6-10,Non_Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,ITS1,Plant_Pathogen,Fungi_15CCK,295.4444444,393.6982065,Fungi_15CTR,445.5,340.2003611,9,9,0.410716433,0.197302554,0.064793526,0.26209608,NA,NA,NA,1.253,1.286,0.02599595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_15D,Fungi_15DCK,1324.111111,1907.245425,Fungi_15DTR,512.125,245.6853025,15,"Chen et al., 2022 (c)",2022,44.0833,124.85,536.0000153,5.133333206,3,2,6,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Unknow,D1-3,R2,D6-10,Non_Rhizosphere,Unknow,Unknow,Retention,Fertilizer,ITS1,Plant_Pathogen,Fungi_15DCK,1324.111111,1907.245425,Fungi_15DTR,512.125,245.6853025,9,9,-0.949927918,0.230526998,0.025571953,0.25609895,NA,NA,NA,1.353,1.335,-0.013393057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_17A,Fungi_17ABTR,428.3333333,201.0878747,Fungi_17ACK,507,369.1097398,17,"Cui et al., 2024 (b)",2024,43.5064,124.8092,620.0000153,5.241666794,10,2,30,LongitudeDa0,MAP600Dao1200,MATXy8,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Harvest,D5-10,R2,D20-40,Non_Rhizosphere,Fine,Tillage,No_retention,Fertilizer,ITS1,Plant_Pathogen,Fungi_17ABTR,428.3333333,201.0878747,Fungi_17ACK,507,369.1097398,3,3,0.168609295,0.073466063,0.176674486,0.250140549,7.61,7.61,0,1.854408353,1.97737819,0.064206123,0.166,0.18,0.080969063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_17B,Fungi_17ABTR,428.3333333,201.0878747,Fungi_17BCK,124,28.51315486,17,"Cui et al., 2024 (b)",2024,43.5064,124.8092,620.0000153,5.241666794,10,2,30,LongitudeDa0,MAP600Dao1200,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Harvest,D5-10,R2,D20-40,Non_Rhizosphere,Fine,Tillage,No_retention,Fertilizer,ITS1,Plant_Pathogen,Fungi_17ABTR,428.3333333,201.0878747,Fungi_17BCK,124,28.51315486,3,3,-1.239620143,0.073466063,0.01762487,0.091090933,7.81,7.61,-0.025941792,2.136890951,1.97737819,-0.077580125,0.187,0.18,-0.038151766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
