Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.343682222	0.370740477	0.656317778	0.629259524	0.108072222	0.117271429	0.23561	0.253469048	0.142588889	0.090330952	0.415981111	0.452559524	0.097747778	0.086369048
0.363303333	0.377506944	0.636696666	0.622493056	0.11119	0.1153	0.252113333	0.262206944	0.137754444	0.124593056	0.407733333	0.415455556	0.091208889	0.082444444
0.368615909	0.392143333	0.63138409	0.607856667	0.10464697	0.12135125	0.263968939	0.270792083	0.141167424	0.159997083	0.356763636	0.332611667	0.13345303	0.115247917
0.408953205	0.386273077	0.591046795	0.613726923	0.115228205	0.114671795	0.293725	0.271601282	0.138111538	0.150648077	0.347641026	0.351996154	0.105294231	0.111082692
0.342914407	0.288528618	0.657085593	0.711471382	0.002870051	0.005652481	0.340044356	0.282876137	0.197396973	0.259997956	0.449297684	0.438522442	0.010390935	0.012950984
0.793267538	0.897533431	0.206732462	0.102466569	0.006035523	0.004140488	0.787232015	0.893392944	0.023102792	0.002291427	0.100286066	0.054369544	0.083343603	0.045805598
0.596372222	0.544959722	0.403627778	0.455040278	0.058040278	0.059740278	0.538331944	0.485219444	0.065890278	0.066693056	0.160066667	0.212291667	0.177670833	0.176055556
0.519043056	0.467175	0.480956944	0.532825	0.056415278	0.071093056	0.462627778	0.396081944	0.072608333	0.107026389	0.262966667	0.279263889	0.145381944	0.146534722
0.470856944	0.458086111	0.529143056	0.541913889	0.094206944	0.073875	0.37665	0.384211111	0.113576389	0.1154	0.320033333	0.365554167	0.095533333	0.060959722
0.420319643	0.459184722	0.579680357	0.540815278	0.0946625	0.093683333	0.325657143	0.365501389	0.136971429	0.113718056	0.360353571	0.350056944	0.082355357	0.077040278
0.29245	0.3567	0.70755	0.6433	0.29245	0.3148	0	0.0419	0.447383333	0.5219	0.259983333	0.1214	0.000183333	0
0.383383333	0.3567	0.616616667	0.6433	0.321	3.15E-01	0.062383333	0.0419	0.371116667	0.5219	0.245466667	0.1214	3.33E-05	0
0.159958227	0.17940246	0.840041773	0.82059754	0.030708541	0.024476888	0.129249686	0.154925571	0.222951331	0.408430495	0.593822632	0.400755217	0.023267809	0.011411829
0.189284964	0.184288126	0.810715036	0.815711874	0.01553416	0.012549536	0.173750804	0.171738591	0.090555969	0.348268923	0.674378029	0.428905509	0.045781038	0.038537441
0.455116433	0.484867406	0.544883567	0.515132594	0.278483802	0.432760352	0.176632631	0.052107055	0.436653689	0.350192218	0.105095619	0.164940376	0.003134259	0
0.741668503	0.59771297	0.258331497	0.40228703	0.600381988	0.49479664	0.141286515	0.10291633	0.080401087	0.338720341	0.17793041	0.063566689	0	0
0.328443099	0.271869249	0.671556901	0.728130751	0.026875706	0.034483454	0.301567393	0.237385795	0.194895884	0.262924132	0.409769169	0.439811945	0.066891848	0.025394673
0.328443099	0.223006457	0.671556901	0.776993543	0.026875706	0.029992736	0.301567393	0.193013721	0.194895884	0.274937046	0.409769169	0.415517353	0.066891848	0.086539144
0.328443099	0.294531073	0.671556901	0.705468927	0.026875706	0.026517353	0.301567393	0.268013721	0.194895884	0.11511703	0.409769169	0.512814366	0.066891848	0.07753753
0.466040027	0.442065002	0.533959973	0.557934998	0.129496842	0.074642779	0.336543185	0.367422223	0.313093409	0.320757856	0.190183515	0.205054232	0.03068305	0.03212291
0.481218228	0.4711514	0.518781772	0.5288486	8.43E-02	0.048063288	0.39694328	0.423088113	0.299694781	0.242808538	0.190485772	0.237525566	0.028601219	0.048514496
0.416530781	0.485830485	0.583469219	0.514169515	0.064264112	0.096441028	0.352266669	0.389389457	0.250529604	0.250513054	0.270138011	0.187281146	0.062801604	0.076375315
0.575146667	0.615058333	0.424853333	0.384941667	0.545596667	0.575858333	0.02955	0.0392	0.258433333	0.243058333	0.105156667	0.084483333	0.061263333	0.0574
0.131170371	0.172112728	0.868829629	0.827887272	0.032286727	0.044789304	0.098883643	0.127323424	0.141431988	0.060478085	0.270586113	0.318157548	0.456811528	0.449251639
0.148981569	0.172639467	0.851018431	0.827360533	0.045415	0.042141178	0.103566569	0.130498289	0.119601699	0.076878118	0.299323795	0.37363522	0.432092937	0.376847194
0.150800932	0.183237125	0.849199068	0.816762875	0.034360698	0.024354719	0.116440234	0.158882406	0.035529625	0.047772441	0.349292871	0.295890199	0.464376572	0.473100235
0.162512885	0.186241908	0.837487115	0.813758092	0.047379706	0.040464066	0.115133179	0.145777842	0.122457016	0.084281326	0.334667876	0.349998969	0.380362223	0.379477797
0.131130169	0.19231126	0.868869831	0.80768874	0.042139117	0.041218612	0.088991053	0.151092648	0.11713087	0.23279182	0.344795489	0.20669711	0.406943471	0.36819981
0.133603059	0.154604585	0.866396941	0.845395415	0.04155053	0.041025852	0.09205253	0.113578733	0.080307591	0.05238321	0.363637488	0.390201212	0.422451862	0.402810992
0.18100235	0.168216303	0.81899765	0.831783697	0.033581413	0.028395456	0.147420938	0.139820847	0.160223478	0.065021853	0.154935472	0.34278749	0.5038387	0.423974354
0.138772523	0.16852142	0.861227477	0.83147858	0.037782955	0.030432318	0.100989568	0.138089102	0.031264174	0.128891271	0.357784604	0.316482497	0.4721787	0.386104812
0.514770684	0.530410813	0.485229316	0.469589187	0.263184935	0.244086786	0.251585749	0.286324026	0.343193629	0.376321458	0.123352501	0.054004387	0.018683186	0.039263343
0.077674134	0.427460957	0.922325866	0.572539043	0.077674134	9.66E-02	0	0.330907121	0.846642169	0.244423245	0.075683697	0.319306056	0	0.008809743
0.374495327	0.382786916	0.625504673	0.617213084	0.002364486	0.005233645	0.372130841	0.377553271	0.123570093	0.11715514	0.242119626	0.237575701	0.259814953	0.262482243
0.296128972	0.33482243	0.703871028	0.66517757	0.008457944	0.006904673	0.287671028	0.327917757	0.197785047	0.122308411	0.196598131	0.272390654	0.30948785	0.270478505
0.395231776	0.34182243	0.604768224	0.65817757	0.008106542	0.006213084	0.387125234	0.335609346	0.0486	0.148031776	0.321820561	0.249848598	0.234347664	0.260297196
0.440551402	0.428725234	0.559448598	0.571274766	0.003093458	0.00486729	0.437457944	0.423857944	0.034547664	0.01151215	0.290214953	0.271665421	0.234685981	0.288097196
0.334616822	0.34055514	0.665383178	0.65944486	0.003048598	0.008839252	0.331568224	0.331715888	0.023500935	0.024500935	0.380485981	0.451241121	0.261396262	0.183702804
0.339805607	0.371605607	0.660194393	0.628394393	0.001153271	0.0012	0.338652336	0.370405607	0.037158879	0.00211028	0.451370093	0.413940187	0.171665421	0.212343925
0.21128631	0.118341094	0.78871369	0.881658906	0.032486944	0.002211931	0.178799366	0.116129163	0.140889059	0.221561842	0.622850757	0.623894035	0.024973874	0.03620303
