Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.24607171	0.229324027	0.75392829	0.770675973	0.183534376	0.032935865	0.062537335	0.196388162	0.011919897	0.275276635	0.715879347	0.486131538	0.026129046	0.0092678
0.141138209	0.234188744	0.858861791	0.765811256	0.004338453	0.046102178	0.136799756	0.188086566	0.126167361	0.465865729	0.712197802	0.291453737	0.020496628	0.00849179
0.272924601	0.474665891	0.727075399	0.525334109	0.154033081	0.061802872	0.11889152	0.412863019	0.197930949	0.260763269	0.507401868	0.254504873	0.021742583	0.010065968
0.429184151	0.42125648	0.570815849	0.57874352	0.010920917	0.017978405	0.418263234	0.403278076	0.262524409	0.294708731	0.291656395	0.269931355	0.016635045	0.014103434
0.671491667	0.520454167	0.328508333	0.479545833	0.003848611	0.016025	0.667643056	0.504429167	0.083266667	0.104676389	0.225319444	0.371838889	0.019922222	0.003030556
0.514104762	0.461997619	0.485895238	0.538002381	0.00862619	0.003697619	0.505478571	0.4583	0.193792857	0.182142857	0.28957381	0.355314286	0.002528571	0.000545238
0.477919444	0.295617857	0.522080556	0.704382143	0.002641667	0.005860714	0.475277778	0.289757143	0.109070833	0.322835714	0.407498611	0.377219643	0.005511111	0.004326786
0.356638889	0.316035714	0.643361111	0.683964286	0.001580556	0.005553571	0.355058333	0.310482143	0.313761111	0.282191071	0.328818056	0.401535714	0.000781944	0.0002375
0.312696276	0.020572967	0.687303724	0.979427033	0.007466513	0	0.305229764	0.020572967	0.101230533	0.291466385	0.586073191	0.687960649	0	0
0.385631981	0.559165197	0.614368019	0.440834803	0.004832451	0.069982363	0.38079953	0.489182834	0.432157554	0.266725456	0.180117578	0.160258671	0.002092887	0.013850676
0.263738977	0.174920635	0.736261023	0.825079365	0.008630218	0.011017049	0.25510876	0.163903586	0.378859494	0.234250441	0.340952381	0.566972369	0.016449148	0.023856555
0.160924843	0.287013464	0.839075157	0.712986536	0.001218649	7.24E-05	0.159706194	0.286941062	0.572367585	0.447377928	0.25599166	0.263123288	0.010715911	0.00248532
0.160924843	0.320748137	0.839075157	0.679251863	0.001218649	0.002299512	0.159706194	0.318448625	0.572367585	0.446356908	0.25599166	0.231504535	0.010715911	0.00139042
0.160924843	0.224950648	0.839075157	0.775049352	0.001218649	0.004644091	0.159706194	0.220306557	0.572367585	0.556365936	0.25599166	0.213164956	0.010715911	0.00551846
0.830784796	0.463257518	0.169215204	0.536742482	0	0	0.830784796	0.463257518	0.140976384	0.036960197	0.027444803	0.482301112	0.000794017	0.017481174
0.625736386	0.507555965	0.374263614	0.492444035	0	0	0.625736386	0.507555965	0	0.072178679	0.289867322	0.311049639	0.084396291	0.109215716
0.667316667	0.5742	0.332683333	0.4258	0	0	0.667316667	0.5742	0.00155	0.122216667	0.256916667	0.2609	0.074216667	0.042683333
0.667316667	0.502816667	0.332683333	0.497183333	0	0	0.667316667	0.502816667	0.00155	0.14885	0.256916667	0.338133333	0.074216667	0.0102
0.3512	0.1777	0.6488	0.8223	0	0	0.3512	0.1777	0.17935	0.008366667	0.376766667	0.794883333	0.092683333	0.01905
0.3512	0.41495	0.6488	0.58505	0	0	0.3512	0.41495	0.17935	0.00225	0.376766667	0.543	0.092683333	0.0398
0.8838	0.455466667	0.1162	0.544533333	3.33E-05	0.00015	0.883766667	0.455316667	0.0035	0	0.105533333	0.407333333	0.007166667	0.1372
0.2953	0.741033333	0.7047	0.258966667	0	0	0.2953	0.741033333	0.27615	0.0016	0.4227	0.187783333	0.00585	0.069583333
0.7645	0.7552	0.2355	0.2448	0.000766667	0	0.763733333	0.7552	0.10455	0.1374	0.119783333	0.10175	0.011166667	0.00565
0.7645	0.5853	0.2355	0.4147	0.000766667	0	0.763733333	0.5853	0.10455	0.02145	0.119783333	0.38555	0.011166667	0.0077
0.8129	0.831116667	0.1871	0.168883333	0.001933333	0	0.810966667	0.831116667	0	0.0523	0.142783333	0.080966667	0.044316667	0.035616667
0.8129	0.078	0.1871	0.922	0.001933333	0	0.810966667	0.078	0	0.0104	0.142783333	0.903366667	0.044316667	0.008233333
0.691183333	0.1575	0.308816667	0.8425	0	0.0046	0.691183333	0.1529	0.20085	0.07635	0.090433333	0.7547	0.017533333	0.01145
0.691183333	0.442983333	0.308816667	0.557016667	0	0.0016	0.691183333	0.441383333	0.20085	0.1329	0.090433333	0.424116667	0.017533333	0
0.623766667	0.791433333	0.376233333	0.208566667	0	0	0.623766667	0.791433333	0.09375	0.039266667	0.236016667	0.154983333	0.046466667	0.014316667
0.623766667	0.147516667	0.376233333	0.852483333	0	0.00135	0.623766667	0.146166667	0.09375	0.056	0.236016667	0.636016667	0.046466667	0.160466667
0.09442381	0.079404762	0.90557619	0.920595238	0.022259524	0.014959524	0.072164286	0.064445238	0.421388095	0.480864286	0.46195	0.43292381	0.022238095	0.006807143
0.076097619	0.042940476	0.923902381	0.957059524	0.001047619	0.002702381	0.07505	0.040238095	0.374754762	0.475545238	0.524557143	0.473961905	0.024590476	0.007552381
0.052966667	0.094483333	0.947033333	0.905516667	0.003947619	7.33E-05	0.049019048	0.09441	0.408797619	0.385353333	0.51187381	0.48583	0.026361905	0.034333333
0.096808333	0.16495	0.903191667	0.83505	0	0.033956667	0.096808333	0.130993333	0.2844	0.247426667	0.592158333	0.576343333	0.026633333	0.01128
0.563799529	0.290677717	0.436200471	0.709322283	0.019394861	0.021037662	0.544404668	0.269640055	0.280240617	0.321384203	0.138428469	0.38793808	0.017531385	0
0.563799529	0.394648228	0.436200471	0.605351772	0.019394861	0.043595528	0.544404668	0.3510527	0.280240617	0.336586243	0.138428469	0.268765529	0.017531385	0
0.077228177	0.056527103	0.922771823	0.943472897	0.032757173	0.021230541	0.044471004	0.035296562	0.686033362	0.691718714	0.200626708	0.233457561	0.036111754	0.018296622
0.083160271	0.084668997	0.916839729	0.915331003	0.035284139	0.042168076	0.047876132	0.042500921	0.659359498	0.495646028	0.238118248	0.39713462	0.019361983	0.022550355
0	0.432597285	1	0.567402715	0	0.010292953	0	0.422304331	0.717574265	0.42739949	0.274266151	0.126829125	0.008159585	0.0131741
0.02937583	0.01189907	0.97062417	0.98810093	0.012182382	0.001704294	0.017193448	0.010194776	0.720903054	0.759486498	0.221956618	0.215369633	0.027764498	0.013244799
